source,target,weight,lift,source_chr,source_start,source_end,source_cluster,target_chr,target_start,target_end,target_cluster,source_protein,target_protein
chr22_30559334-30585088_cluster17,chr22_37416456-37447223_cluster46,3,10.192,chr22,30559334,30585088,cluster17,chr22,37416456,37447223,cluster46,O00541,
chr22_30559334-30585088_cluster17,chr22_44051606-44076464_cluster26,3,8.78621,chr22,30559334,30585088,cluster17,chr22,44051606,44076464,cluster26,O00541,Q9HBI1
chr22_30559334-30585088_cluster17,chr22_48517374-48534407_cluster47,2,5.85747,chr22,30559334,30585088,cluster17,chr22,48517374,48534407,cluster47,O00541,Q7Z5A7
chr22_32156952-32181456_cluster50,chr22_37416456-37447223_cluster46,2,7.28,chr22,32156952,32181456,cluster50,chr22,37416456,37447223,cluster46,Q6IC83,
chr22_44051606-44076464_cluster26,chr22_48517374-48534407_cluster47,2,6.05945,chr22,44051606,44076464,cluster26,chr22,48517374,48534407,cluster47,Q9HBI1,Q7Z5A7
chr22_19699265-19729797_cluster109,chr22_22943618-23011425_cluster15,3,8.84722,chr22,19699265,19729797,cluster109,chr22,22943618,23011425,cluster15,P13224;Q99719,
chr22_19773105-19821351_cluster130,chr22_22943618-23011425_cluster15,3,7.23864,chr22,19773105,19821351,cluster130,chr22,22943618,23011425,cluster15,O43435;Q9BYB4,
chr22_20961195-20968216_cluster69,chr22_46249251-46375373_cluster322,2,7.02897,chr22,20961195,20968216,cluster69,chr22,46249251,46375373,cluster322,Q96NN9,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_18130176-18154397_cluster25,chr22_37276728-37285225_cluster146,2,6.29136,chr22,18130176,18154397,cluster25,chr22,37276728,37285225,cluster146,Q9NY65,Q9UIA0
chr22_18130176-18154397_cluster25,chr22_47150007-47171844_cluster124,2,6.9904,chr22,18130176,18154397,cluster25,chr22,47150007,47171844,cluster124,Q9NY65,Q8WUA7
chr22_23241440-23290478_cluster178,chr22_25876277-25884349_cluster87,3,11.3244,chr22,23241440,23290478,cluster178,chr22,25876277,25884349,cluster87,P11274,Q8IUG5
chr22_23241440-23290478_cluster178,chr22_33299764-33359267_cluster281,2,7.84,chr22,23241440,23290478,cluster178,chr22,33299764,33359267,cluster281,P11274,O95461
chr22_23241440-23290478_cluster178,chr22_36798723-36813403_cluster11,2,7.02897,chr22,23241440,23290478,cluster178,chr22,36798723,36813403,cluster11,P11274,P20472
chr22_23241440-23290478_cluster178,chr22_45076203-45102024_cluster52,2,7.54963,chr22,23241440,23290478,cluster178,chr22,45076203,45102024,cluster52,P11274,
chr22_25876277-25884349_cluster87,chr22_26270093-26284739_cluster73,4,13.9808,chr22,25876277,25884349,cluster87,chr22,26270093,26284739,cluster73,Q8IUG5,Q9BYH1
chr22_25876277-25884349_cluster87,chr22_33299764-33359267_cluster281,5,18.1481,chr22,25876277,25884349,cluster87,chr22,33299764,33359267,cluster281,Q8IUG5,O95461
chr22_25876277-25884349_cluster87,chr22_45076203-45102024_cluster52,3,10.4856,chr22,25876277,25884349,cluster87,chr22,45076203,45102024,cluster52,Q8IUG5,
chr22_26270093-26284739_cluster73,chr22_33299764-33359267_cluster281,2,7.25926,chr22,26270093,26284739,cluster73,chr22,33299764,33359267,cluster281,Q9BYH1,O95461
chr22_37416456-37447223_cluster46,chr22_39123775-39179317_cluster157,2,7.28,chr22,37416456,37447223,cluster46,chr22,39123775,39179317,cluster157,,O95931
chr22_17463955-17486499_cluster51,chr22_48346281-48358281_cluster409,3,8.26378,chr22,17463955,17486499,cluster51,chr22,48346281,48358281,cluster409,Q9BXF3,
chr22_26024448-26060666_cluster49,chr22_48346281-48358281_cluster409,5,20.384,chr22,26024448,26060666,cluster49,chr22,48346281,48358281,cluster409,Q8IUG5,
chr22_17257431-17286047_cluster125,chr22_44603286-44615978_cluster22,3,10.4856,chr22,17257431,17286047,cluster125,chr22,44603286,44615978,cluster22,,
chr22_27240185-27248628_cluster31,chr22_36798723-36813403_cluster11,3,9.76245,chr22,27240185,27248628,cluster31,chr22,36798723,36813403,cluster11,,P20472
chr22_36798723-36813403_cluster11,chr22_44603286-44615978_cluster22,3,9.76245,chr22,36798723,36813403,cluster11,chr22,44603286,44615978,cluster22,P20472,
chr22_30559334-30585088_cluster17,chr22_43267728-43304000_cluster216,3,10.192,chr22,30559334,30585088,cluster17,chr22,43267728,43304000,cluster216,O00541,Q8IWY4
chr22_26024448-26060666_cluster49,chr22_48440418-48460740_cluster524,2,7.84,chr22,26024448,26060666,cluster49,chr22,48440418,48460740,cluster524,Q8IUG5,
chr22_17257431-17286047_cluster125,chr22_45275462-45289532_cluster53,2,6.5083,chr22,17257431,17286047,cluster125,chr22,45275462,45289532,cluster53,,O75631
chr22_18130176-18154397_cluster25,chr22_18978115-18995264_cluster32,3,11.3244,chr22,18130176,18154397,cluster25,chr22,18978115,18995264,cluster32,Q9NY65,
chr22_18130176-18154397_cluster25,chr22_46249251-46375373_cluster322,4,15.0993,chr22,18130176,18154397,cluster25,chr22,46249251,46375373,cluster322,Q9NY65,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_18978115-18995264_cluster32,chr22_26024448-26060666_cluster49,3,12.2304,chr22,18978115,18995264,cluster32,chr22,26024448,26060666,cluster49,,Q8IUG5
chr22_18978115-18995264_cluster32,chr22_43267728-43304000_cluster216,4,16.3072,chr22,18978115,18995264,cluster32,chr22,43267728,43304000,cluster216,,Q8IWY4
chr22_18978115-18995264_cluster32,chr22_46090628-46101290_cluster8,2,7.84,chr22,18978115,18995264,cluster32,chr22,46090628,46101290,cluster8,,
chr22_18978115-18995264_cluster32,chr22_46249251-46375373_cluster322,3,12.2304,chr22,18978115,18995264,cluster32,chr22,46249251,46375373,cluster322,,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_18978115-18995264_cluster32,chr22_48346281-48358281_cluster409,3,12.2304,chr22,18978115,18995264,cluster32,chr22,48346281,48358281,cluster409,,
chr22_26024448-26060666_cluster49,chr22_43267728-43304000_cluster216,3,12.2304,chr22,26024448,26060666,cluster49,chr22,43267728,43304000,cluster216,Q8IUG5,Q8IWY4
chr22_26024448-26060666_cluster49,chr22_45275462-45289532_cluster53,2,7.02897,chr22,26024448,26060666,cluster49,chr22,45275462,45289532,cluster53,Q8IUG5,O75631
chr22_26024448-26060666_cluster49,chr22_46090628-46101290_cluster8,2,7.84,chr22,26024448,26060666,cluster49,chr22,46090628,46101290,cluster8,Q8IUG5,
chr22_26024448-26060666_cluster49,chr22_46249251-46375373_cluster322,2,8.1536,chr22,26024448,26060666,cluster49,chr22,46249251,46375373,cluster322,Q8IUG5,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_36850905-36863317_cluster82,chr22_43267728-43304000_cluster216,2,7.54963,chr22,36850905,36863317,cluster82,chr22,43267728,43304000,cluster216,Q15080,Q8IWY4
chr22_36850905-36863317_cluster82,chr22_45275462-45289532_cluster53,3,9.76245,chr22,36850905,36863317,cluster82,chr22,45275462,45289532,cluster53,Q15080,O75631
chr22_36850905-36863317_cluster82,chr22_46090628-46101290_cluster8,3,10.8889,chr22,36850905,36863317,cluster82,chr22,46090628,46101290,cluster8,Q15080,
chr22_36850905-36863317_cluster82,chr22_46249251-46375373_cluster322,2,7.54963,chr22,36850905,36863317,cluster82,chr22,46249251,46375373,cluster322,Q15080,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_43267728-43304000_cluster216,chr22_46090628-46101290_cluster8,2,7.84,chr22,43267728,43304000,cluster216,chr22,46090628,46101290,cluster8,Q8IWY4,
chr22_45275462-45289532_cluster53,chr22_46090628-46101290_cluster8,4,13.5172,chr22,45275462,45289532,cluster53,chr22,46090628,46101290,cluster8,O75631,
chr22_46090628-46101290_cluster8,chr22_48346281-48358281_cluster409,2,7.84,chr22,46090628,46101290,cluster8,chr22,48346281,48358281,cluster409,,
chr22_26270093-26284739_cluster73,chr22_42340130-42375220_cluster43,2,5.89815,chr22,26270093,26284739,cluster73,chr22,42340130,42375220,cluster43,Q9BYH1,
chr22_39577521-39600259_cluster64,chr22_42340130-42375220_cluster43,2,5.49138,chr22,39577521,39600259,cluster64,chr22,42340130,42375220,cluster43,Q9P0X4,
chr22_42340130-42375220_cluster43,chr22_47150007-47171844_cluster124,2,5.89815,chr22,42340130,42375220,cluster43,chr22,47150007,47171844,cluster124,,Q8WUA7
chr22_18130176-18154397_cluster25,chr22_44127670-44156872_cluster88,3,10.8889,chr22,18130176,18154397,cluster25,chr22,44127670,44156872,cluster88,Q9NY65,Q9HBI1
chr22_23241440-23290478_cluster178,chr22_44127670-44156872_cluster88,3,11.76,chr22,23241440,23290478,cluster178,chr22,44127670,44156872,cluster88,P11274,Q9HBI1
chr22_27240185-27248628_cluster31,chr22_37276728-37285225_cluster146,3,9.43704,chr22,27240185,27248628,cluster31,chr22,37276728,37285225,cluster146,,Q9UIA0
chr22_27240185-27248628_cluster31,chr22_44127670-44156872_cluster88,3,10.8889,chr22,27240185,27248628,cluster31,chr22,44127670,44156872,cluster88,,Q9HBI1
chr22_32156952-32181456_cluster50,chr22_45220568-45261186_cluster164,3,10.5,chr22,32156952,32181456,cluster50,chr22,45220568,45261186,cluster164,Q6IC83,Q6ICG6
chr22_32156952-32181456_cluster50,chr22_48346281-48358281_cluster409,2,7.28,chr22,32156952,32181456,cluster50,chr22,48346281,48358281,cluster409,Q6IC83,
chr22_32156952-32181456_cluster50,chr22_49310363-49333633_cluster88,3,9.1,chr22,32156952,32181456,cluster50,chr22,49310363,49333633,cluster88,Q6IC83,
chr22_20961195-20968216_cluster69,chr22_27378463-27396539_cluster39,2,7.02897,chr22,20961195,20968216,cluster69,chr22,27378463,27396539,cluster39,Q96NN9,
chr22_27378463-27396539_cluster39,chr22_38949961-38959712_cluster19,5,16.9867,chr22,27378463,27396539,cluster39,chr22,38949961,38959712,cluster19,,P31941;Q9UH17
chr22_38949961-38959712_cluster19,chr22_45220568-45261186_cluster164,3,9.8,chr22,38949961,38959712,cluster19,chr22,45220568,45261186,cluster164,P31941;Q9UH17,Q6ICG6
chr22_43267728-43304000_cluster216,chr22_43304000-43349923_cluster190,7,28.5376,chr22,43267728,43304000,cluster216,chr22,43304000,43349923,cluster190,Q8IWY4,Q8IWY4
chr22_43304000-43349923_cluster190,chr22_48697982-48748191_cluster315,3,10.192,chr22,43304000,43349923,cluster190,chr22,48697982,48748191,cluster315,Q8IWY4,Q7Z5A7
chr22_17257431-17286047_cluster125,chr22_43267728-43304000_cluster216,2,7.54963,chr22,17257431,17286047,cluster125,chr22,43267728,43304000,cluster216,,Q8IWY4
chr22_22370689-22385243_cluster4,chr22_47150007-47171844_cluster124,2,7.54963,chr22,22370689,22385243,cluster4,chr22,47150007,47171844,cluster124,,Q8WUA7
chr22_47150007-47171844_cluster124,chr22_48440418-48460740_cluster524,3,10.8889,chr22,47150007,47171844,cluster124,chr22,48440418,48460740,cluster524,Q8WUA7,
chr22_25876277-25884349_cluster87,chr22_42340130-42375220_cluster43,3,8.84722,chr22,25876277,25884349,cluster87,chr22,42340130,42375220,cluster43,Q8IUG5,
chr22_25876277-25884349_cluster87,chr22_46684568-46701053_cluster27,4,12.5827,chr22,25876277,25884349,cluster87,chr22,46684568,46701053,cluster27,Q8IUG5,Q8TCT0
chr22_25876277-25884349_cluster87,chr22_48517374-48534407_cluster47,3,9.76245,chr22,25876277,25884349,cluster87,chr22,48517374,48534407,cluster47,Q8IUG5,Q7Z5A7
chr22_42340130-42375220_cluster43,chr22_46684568-46701053_cluster27,3,7.9625,chr22,42340130,42375220,cluster43,chr22,46684568,46701053,cluster27,,Q8TCT0
chr22_42340130-42375220_cluster43,chr22_48517374-48534407_cluster47,2,5.49138,chr22,42340130,42375220,cluster43,chr22,48517374,48534407,cluster47,,Q7Z5A7
chr22_46684568-46701053_cluster27,chr22_49310363-49333633_cluster88,4,11.3244,chr22,46684568,46701053,cluster27,chr22,49310363,49333633,cluster88,Q8TCT0,
chr22_19773105-19821351_cluster130,chr22_48593175-48616504_cluster52,2,5.51515,chr22,19773105,19821351,cluster130,chr22,48593175,48616504,cluster52,O43435;Q9BYB4,Q7Z5A7
chr22_44603286-44615978_cluster22,chr22_48593175-48616504_cluster52,2,6.74074,chr22,44603286,44615978,cluster22,chr22,48593175,48616504,cluster52,,Q7Z5A7
chr22_36850905-36863317_cluster82,chr22_38949961-38959712_cluster19,2,6.29136,chr22,36850905,36863317,cluster82,chr22,38949961,38959712,cluster19,Q15080,P31941;Q9UH17
chr22_36850905-36863317_cluster82,chr22_39123775-39179317_cluster157,3,10.1111,chr22,36850905,36863317,cluster82,chr22,39123775,39179317,cluster157,Q15080,O95931
chr22_38949961-38959712_cluster19,chr22_39123775-39179317_cluster157,2,6.06667,chr22,38949961,38959712,cluster19,chr22,39123775,39179317,cluster157,P31941;Q9UH17,O95931
chr22_39123775-39179317_cluster157,chr22_39980379-40032702_cluster74,3,9.41379,chr22,39123775,39179317,cluster157,chr22,39980379,40032702,cluster74,O95931,Q8NEG4
chr22_17463955-17486499_cluster51,chr22_27240185-27248628_cluster31,2,5.1011,chr22,17463955,17486499,cluster51,chr22,27240185,27248628,cluster31,Q9BXF3,
chr22_26270093-26284739_cluster73,chr22_49310363-49333633_cluster88,2,6.29136,chr22,26270093,26284739,cluster73,chr22,49310363,49333633,cluster88,Q9BYH1,
chr22_36798723-36813403_cluster11,chr22_49310363-49333633_cluster88,3,8.78621,chr22,36798723,36813403,cluster11,chr22,49310363,49333633,cluster88,P20472,
chr22_17286047-17311850_cluster62,chr22_48517374-48534407_cluster47,3,10.5434,chr22,17286047,17311850,cluster62,chr22,48517374,48534407,cluster47,,Q7Z5A7
chr22_17286047-17311850_cluster62,chr22_43304000-43349923_cluster190,2,8.1536,chr22,17286047,17311850,cluster62,chr22,43304000,43349923,cluster190,,Q8IWY4
chr22_17286047-17311850_cluster62,chr22_48697982-48748191_cluster315,3,10.192,chr22,17286047,17311850,cluster62,chr22,48697982,48748191,cluster315,,Q7Z5A7
chr22_32156952-32181456_cluster50,chr22_43304000-43349923_cluster190,2,7.28,chr22,32156952,32181456,cluster50,chr22,43304000,43349923,cluster190,Q6IC83,Q8IWY4
chr22_32156952-32181456_cluster50,chr22_48697982-48748191_cluster315,4,12.1333,chr22,32156952,32181456,cluster50,chr22,48697982,48748191,cluster315,Q6IC83,Q7Z5A7
chr22_27240185-27248628_cluster31,chr22_46249251-46375373_cluster322,2,7.54963,chr22,27240185,27248628,cluster31,chr22,46249251,46375373,cluster322,,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_27240185-27248628_cluster31,chr22_49310363-49333633_cluster88,3,9.43704,chr22,27240185,27248628,cluster31,chr22,49310363,49333633,cluster88,,
chr22_27795907-27840691_cluster127,chr22_46249251-46375373_cluster322,2,8.1536,chr22,27795907,27840691,cluster127,chr22,46249251,46375373,cluster322,Q10571,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_30473070-30559334_cluster42,chr22_44603286-44615978_cluster22,2,7.54963,chr22,30473070,30559334,cluster42,chr22,44603286,44615978,cluster22,B5MCN3;Q99999;Q9UDX3,
chr22_30473070-30559334_cluster42,chr22_46249251-46375373_cluster322,2,8.1536,chr22,30473070,30559334,cluster42,chr22,46249251,46375373,cluster322,B5MCN3;Q99999;Q9UDX3,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_44603286-44615978_cluster22,chr22_46249251-46375373_cluster322,3,11.3244,chr22,44603286,44615978,cluster22,chr22,46249251,46375373,cluster322,,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_25876277-25884349_cluster87,chr22_38949961-38959712_cluster19,2,6.29136,chr22,25876277,25884349,cluster87,chr22,38949961,38959712,cluster19,Q8IUG5,P31941;Q9UH17
chr22_25876277-25884349_cluster87,chr22_48346281-48358281_cluster409,2,7.54963,chr22,25876277,25884349,cluster87,chr22,48346281,48358281,cluster409,Q8IUG5,
chr22_25876277-25884349_cluster87,chr22_48440418-48460740_cluster524,3,10.8889,chr22,25876277,25884349,cluster87,chr22,48440418,48460740,cluster524,Q8IUG5,
chr22_38949961-38959712_cluster19,chr22_48346281-48358281_cluster409,2,6.79467,chr22,38949961,38959712,cluster19,chr22,48346281,48358281,cluster409,P31941;Q9UH17,
chr22_38949961-38959712_cluster19,chr22_48440418-48460740_cluster524,2,6.53333,chr22,38949961,38959712,cluster19,chr22,48440418,48460740,cluster524,P31941;Q9UH17,
chr22_21084128-21097378_cluster9,chr22_26024448-26060666_cluster49,3,11.3244,chr22,21084128,21097378,cluster9,chr22,26024448,26060666,cluster49,,Q8IUG5
chr22_21084128-21097378_cluster9,chr22_44603286-44615978_cluster22,2,6.9904,chr22,21084128,21097378,cluster9,chr22,44603286,44615978,cluster22,,
chr22_26024448-26060666_cluster49,chr22_44603286-44615978_cluster22,2,7.54963,chr22,26024448,26060666,cluster49,chr22,44603286,44615978,cluster22,Q8IUG5,
chr22_25876277-25884349_cluster87,chr22_44603286-44615978_cluster22,2,6.9904,chr22,25876277,25884349,cluster87,chr22,44603286,44615978,cluster22,Q8IUG5,
chr22_37276728-37285225_cluster146,chr22_43304000-43349923_cluster190,3,10.192,chr22,37276728,37285225,cluster146,chr22,43304000,43349923,cluster190,Q9UIA0,Q8IWY4
chr22_39123775-39179317_cluster157,chr22_43304000-43349923_cluster190,3,10.92,chr22,39123775,39179317,cluster157,chr22,43304000,43349923,cluster190,O95931,Q8IWY4
chr22_17463955-17486499_cluster51,chr22_46249251-46375373_cluster322,2,5.50919,chr22,17463955,17486499,cluster51,chr22,46249251,46375373,cluster322,Q9BXF3,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_27505000-27522596_cluster34,chr22_46249251-46375373_cluster322,2,7.84,chr22,27505000,27522596,cluster34,chr22,46249251,46375373,cluster322,,O75648;Q5R3I4;Q9NTG1;Q9NYQ6;Q9NYZ3
chr22_22370689-22385243_cluster4,chr22_27505000-27522596_cluster34,2,7.84,chr22,22370689,22385243,cluster4,chr22,27505000,27522596,cluster34,,
chr22_22370689-22385243_cluster4,chr22_44051606-44076464_cluster26,2,7.02897,chr22,22370689,22385243,cluster4,chr22,44051606,44076464,cluster26,,Q9HBI1
chr22_23766514-23847298_cluster36,chr22_30559334-30585088_cluster17,3,8.21935,chr22,23766514,23847298,cluster36,chr22,30559334,30585088,cluster17,P24347;Q12824;Q8WYQ3;Q96Q80,O00541
chr22_23766514-23847298_cluster36,chr22_39577521-39600259_cluster64,3,8.50278,chr22,23766514,23847298,cluster36,chr22,39577521,39600259,cluster64,P24347;Q12824;Q8WYQ3;Q96Q80,Q9P0X4
chr22_23766514-23847298_cluster36,chr22_49310363-49333633_cluster88,3,8.21935,chr22,23766514,23847298,cluster36,chr22,49310363,49333633,cluster88,P24347;Q12824;Q8WYQ3;Q96Q80,
chr22_27505000-27522596_cluster34,chr22_30559334-30585088_cluster17,2,6.53333,chr22,27505000,27522596,cluster34,chr22,30559334,30585088,cluster17,,O00541
chr22_30559334-30585088_cluster17,chr22_39577521-39600259_cluster64,3,8.78621,chr22,30559334,30585088,cluster17,chr22,39577521,39600259,cluster64,O00541,Q9P0X4
chr22_39577521-39600259_cluster64,chr22_44051606-44076464_cluster26,3,9.08918,chr22,39577521,39600259,cluster64,chr22,44051606,44076464,cluster26,Q9P0X4,Q9HBI1
chr22_39577521-39600259_cluster64,chr22_49310363-49333633_cluster88,2,5.85747,chr22,39577521,39600259,cluster64,chr22,49310363,49333633,cluster88,Q9P0X4,
chr22_17257431-17286047_cluster125,chr22_17463955-17486499_cluster51,2,5.1011,chr22,17257431,17286047,cluster125,chr22,17463955,17486499,cluster51,,Q9BXF3
chr22_17257431-17286047_cluster125,chr22_36850905-36863317_cluster82,2,6.9904,chr22,17257431,17286047,cluster125,chr22,36850905,36863317,cluster82,,Q15080
chr22_17257431-17286047_cluster125,chr22_39123775-39179317_cluster157,2,6.74074,chr22,17257431,17286047,cluster125,chr22,39123775,39179317,cluster157,,O95931
chr22_39123775-39179317_cluster157,chr22_44098586-44103463_cluster12,2,5.87097,chr22,39123775,39179317,cluster157,chr22,44098586,44103463,cluster12,O95931,Q9HBI1
chr22_42340130-42375220_cluster43,chr22_44098586-44103463_cluster12,3,7.70565,chr22,42340130,42375220,cluster43,chr22,44098586,44103463,cluster12,,Q9HBI1
chr22_42340130-42375220_cluster43,chr22_45076203-45102024_cluster52,3,8.84722,chr22,42340130,42375220,cluster43,chr22,45076203,45102024,cluster52,,
chr22_44098586-44103463_cluster12,chr22_45076203-45102024_cluster52,3,9.13262,chr22,44098586,44103463,cluster12,chr22,45076203,45102024,cluster52,Q9HBI1,
chr22_18040448-18059257_cluster152,chr22_48593175-48616504_cluster52,4,12.1333,chr22,18040448,18059257,cluster152,chr22,48593175,48616504,cluster52,,Q7Z5A7
chr22_23766514-23847298_cluster36,chr22_37416456-37447223_cluster46,2,6.57548,chr22,23766514,23847298,cluster36,chr22,37416456,37447223,cluster46,P24347;Q12824;Q8WYQ3;Q96Q80,
chr22_23766514-23847298_cluster36,chr22_45275462-45289532_cluster53,2,5.66852,chr22,23766514,23847298,cluster36,chr22,45275462,45289532,cluster53,P24347;Q12824;Q8WYQ3;Q96Q80,O75631
chr22_37416456-37447223_cluster46,chr22_47150007-47171844_cluster124,5,18.8741,chr22,37416456,37447223,cluster46,chr22,47150007,47171844,cluster124,,Q8WUA7
chr22_22943618-23011425_cluster15,chr22_27274059-27281429_cluster13,2,6.125,chr22,22943618,23011425,cluster15,chr22,27274059,27281429,cluster13,,
chr22_22943618-23011425_cluster15,chr22_46684568-46701053_cluster27,2,5.30833,chr22,22943618,23011425,cluster15,chr22,46684568,46701053,cluster27,,Q8TCT0
chr22_27274059-27281429_cluster13,chr22_45275462-45289532_cluster53,2,6.75862,chr22,27274059,27281429,cluster13,chr22,45275462,45289532,cluster53,,O75631
chr22_27274059-27281429_cluster13,chr22_46684568-46701053_cluster27,2,6.53333,chr22,27274059,27281429,cluster13,chr22,46684568,46701053,cluster27,,Q8TCT0
chr22_45275462-45289532_cluster53,chr22_46684568-46701053_cluster27,2,5.85747,chr22,45275462,45289532,cluster53,chr22,46684568,46701053,cluster27,O75631,Q8TCT0
chr22_46090628-46101290_cluster8,chr22_46684568-46701053_cluster27,3,9.8,chr22,46090628,46101290,cluster8,chr22,46684568,46701053,cluster27,,Q8TCT0
chr22_33299764-33359267_cluster281,chr22_44603286-44615978_cluster22,2,7.25926,chr22,33299764,33359267,cluster281,chr22,44603286,44615978,cluster22,O95461,
chr22_33299764-33359267_cluster281,chr22_48440418-48460740_cluster524,3,11.3077,chr22,33299764,33359267,cluster281,chr22,48440418,48460740,cluster524,O95461,
chr22_20961195-20968216_cluster69,chr22_22370689-22385243_cluster4,3,10.5434,chr22,20961195,20968216,cluster69,chr22,22370689,22385243,cluster4,Q96NN9,
chr22_19699265-19729797_cluster109,chr22_26024448-26060666_cluster49,2,7.54963,chr22,19699265,19729797,cluster109,chr22,26024448,26060666,cluster49,P13224;Q99719,Q8IUG5
chr22_19773105-19821351_cluster130,chr22_26024448-26060666_cluster49,2,6.17697,chr22,19773105,19821351,cluster130,chr22,26024448,26060666,cluster49,O43435;Q9BYB4,Q8IUG5
chr22_27378463-27396539_cluster39,chr22_47150007-47171844_cluster124,2,7.54963,chr22,27378463,27396539,cluster39,chr22,47150007,47171844,cluster124,,Q8WUA7
chr22_27378463-27396539_cluster39,chr22_37276728-37285225_cluster146,3,10.192,chr22,27378463,27396539,cluster39,chr22,37276728,37285225,cluster146,,Q9UIA0
chr22_37276728-37285225_cluster146,chr22_39980379-40032702_cluster74,3,8.78621,chr22,37276728,37285225,cluster146,chr22,39980379,40032702,cluster74,Q9UIA0,Q8NEG4
chr22_27240185-27248628_cluster31,chr22_46090628-46101290_cluster8,2,7.25926,chr22,27240185,27248628,cluster31,chr22,46090628,46101290,cluster8,,
chr22_21084128-21097378_cluster9,chr22_23241440-23290478_cluster178,4,15.0993,chr22,21084128,21097378,cluster9,chr22,23241440,23290478,cluster178,,P11274
chr22_21084128-21097378_cluster9,chr22_37276728-37285225_cluster146,2,6.29136,chr22,21084128,21097378,cluster9,chr22,37276728,37285225,cluster146,,Q9UIA0
chr22_21084128-21097378_cluster9,chr22_45275462-45289532_cluster53,2,6.5083,chr22,21084128,21097378,cluster9,chr22,45275462,45289532,cluster53,,O75631
chr22_23241440-23290478_cluster178,chr22_45275462-45289532_cluster53,2,7.02897,chr22,23241440,23290478,cluster178,chr22,45275462,45289532,cluster53,P11274,O75631
chr22_17463955-17486499_cluster51,chr22_37416456-37447223_cluster46,4,11.0184,chr22,17463955,17486499,cluster51,chr22,37416456,37447223,cluster46,Q9BXF3,
chr22_17463955-17486499_cluster51,chr22_47150007-47171844_cluster124,2,5.1011,chr22,17463955,17486499,cluster51,chr22,47150007,47171844,cluster124,Q9BXF3,Q8WUA7
chr22_17463955-17486499_cluster51,chr22_48440418-48460740_cluster524,3,7.94595,chr22,17463955,17486499,cluster51,chr22,48440418,48460740,cluster524,Q9BXF3,
chr22_37416456-37447223_cluster46,chr22_45076203-45102024_cluster52,2,7.54963,chr22,37416456,37447223,cluster46,chr22,45076203,45102024,cluster52,,
chr22_20961195-20968216_cluster69,chr22_33299764-33359267_cluster281,3,10.1379,chr22,20961195,20968216,cluster69,chr22,33299764,33359267,cluster281,Q96NN9,O95461
chr22_33299764-33359267_cluster281,chr22_37416456-37447223_cluster46,3,11.76,chr22,33299764,33359267,cluster281,chr22,37416456,37447223,cluster46,O95461,
chr22_27378463-27396539_cluster39,chr22_46090628-46101290_cluster8,4,15.68,chr22,27378463,27396539,cluster39,chr22,46090628,46101290,cluster8,,
chr22_22943618-23011425_cluster15,chr22_39980379-40032702_cluster74,2,5.49138,chr22,22943618,23011425,cluster15,chr22,39980379,40032702,cluster74,,Q8NEG4
chr22_26270093-26284739_cluster73,chr22_48440418-48460740_cluster524,3,10.8889,chr22,26270093,26284739,cluster73,chr22,48440418,48460740,cluster524,Q9BYH1,
chr22_18978115-18995264_cluster32,chr22_39980379-40032702_cluster74,2,7.02897,chr22,18978115,18995264,cluster32,chr22,39980379,40032702,cluster74,,Q8NEG4
chr22_18978115-18995264_cluster32,chr22_48440418-48460740_cluster524,3,11.76,chr22,18978115,18995264,cluster32,chr22,48440418,48460740,cluster524,,
chr22_18978115-18995264_cluster32,chr22_48517374-48534407_cluster47,3,10.5434,chr22,18978115,18995264,cluster32,chr22,48517374,48534407,cluster47,,Q7Z5A7
chr22_25876277-25884349_cluster87,chr22_39980379-40032702_cluster74,2,6.5083,chr22,25876277,25884349,cluster87,chr22,39980379,40032702,cluster74,Q8IUG5,Q8NEG4
chr22_25876277-25884349_cluster87,chr22_43267728-43304000_cluster216,2,7.54963,chr22,25876277,25884349,cluster87,chr22,43267728,43304000,cluster216,Q8IUG5,Q8IWY4
chr22_25876277-25884349_cluster87,chr22_43304000-43349923_cluster190,3,11.3244,chr22,25876277,25884349,cluster87,chr22,43304000,43349923,cluster190,Q8IUG5,Q8IWY4
chr22_33299764-33359267_cluster281,chr22_39980379-40032702_cluster74,2,6.75862,chr22,33299764,33359267,cluster281,chr22,39980379,40032702,cluster74,O95461,Q8NEG4
chr22_33299764-33359267_cluster281,chr22_43267728-43304000_cluster216,3,11.76,chr22,33299764,33359267,cluster281,chr22,43267728,43304000,cluster216,O95461,Q8IWY4
chr22_33299764-33359267_cluster281,chr22_43304000-43349923_cluster190,3,11.76,chr22,33299764,33359267,cluster281,chr22,43304000,43349923,cluster190,O95461,Q8IWY4
